customer_id,name,age,city,email,purchase_amount,rating
"C025","   Ananya Patel   ","33","DELHI","ananya.patel@example.com","76380","3.5"
"C098","Devendra Desai","47","HYDERABAD","  DEVENDRA.DESAI@EXAMPLE.COM  ","89147","4.9"
"C043","Imran Iyer","27","  chennai","","62777","4.1"
"C094","mEeRa sHaRmA","","pune  ","meera.sharma@example.com","79982","4.3"
"C053","rahul mehta","31","pune  ","rahul.mehta@example.com","36971","4.3"
"C097","mEeRa rAo","52","Bangalore","meera.rao@example.com","36220","2.0"
"C013","   Harsh Singh   ","41","surat","harsh.singh@example.com","70014","3.4"
"C081","aArAv rEdDy","25","DELHI","  AARAV.REDDY@EXAMPLE.COM  ","65823","2.2"
"C032","Divya Sharma","45","surat","divya.sharma@example.com","5729","1.8"
"C035","sneha nair","47","Jaipur","sneha.nair@example.com","29719",""
"C001","harsh patel","26","pune  ","harsh.patel@example.com","11895","1.1"
"C044","   Rahul Nair   ","42","  chennai","rahul.nair@example.com","1226","4.4"
"C078","   Tanvi Nair   ","38","mumbai","  TANVI.NAIR@EXAMPLE.COM  ","67949","1.0"
"C084","sHrEyA MeHtA","39","  AHMEDABAD  ","shreya.mehta@example.com","42676","4.9"
"C038","ritika reddy","30","kolkata","ritika.reddy@example.com","","3.2"
"C103","Ritika Nair","31","mumbai","ritika.nair@example.com","13522","2.5"
"C071","vivek singh","53","Bangalore","  VIVEK.SINGH@EXAMPLE.COM  ","78332","1.1"
"C020","sNeHa sHaRmA","24","HYDERABAD","  SNEHA.SHARMA@EXAMPLE.COM  ","55796","2.9"
"C017","rohan rao","55","surat","  ROHAN.RAO@EXAMPLE.COM  ","30507",""
"C018","Isha Menon","35","DELHI","isha.menon@example.com","Rs. 75,847","2.0"
"C005","Amit Menon","22","surat","","38430","4.4"
"C012","MEERA NAIR","","Jaipur","meera.nair@example.com","23916","1.4"
"C080","Divya Mehta","49","Jaipur","divya.mehta@example.com","31865","2.2"
"C048","Meera Iyer","52","HYDERABAD","  MEERA.IYER@EXAMPLE.COM  ","20528","1.3"
"C040","mEeRa bOsE","36","HYDERABAD","  MEERA.BOSE@EXAMPLE.COM  ","50195","4.6"
"C088","Harsh Patel","38","  AHMEDABAD  ","harsh.patel@example.com","71412",""
"C064","Divya Reddy","53","kolkata","divya.reddy@example.com","33451","3.9"
"C104","Amit Bose","30","mumbai","amit.bose@example.com","12515","3.6"
"C016","   Vivek Yadav   ","43","  chennai","vivek.yadav@example.com","68339","2.0"
"C041","Ritika Joshi","18","kolkata","ritika.joshi@example.com","80016","2.9"
"C090","amit sharma","36","HYDERABAD","amit.sharma@example.com","54508","4.2"
"C072","Meera Verma","","Jaipur","meera.verma@example.com","77804","4.7"
"C024","Divya Sharma","","mumbai","divya.sharma@example.com","7955","1.3"
"C083","Shreya Patel","50","kolkata","  SHREYA.PATEL@EXAMPLE.COM  ","77431","3.6"
"C037","AMIT SINGH","34","surat","","45809","2.3"
"C101","hArSh pAtEl","25","pune  ","harsh.patel@example.com","65069","1.9"
"C021","shreya yadav","53","Jaipur","shreya.yadav@example.com","2434","4.7"
"C056","Yash Singh","25","Bangalore","  YASH.SINGH@EXAMPLE.COM  ","76349",""
"C043","Imran Iyer","27","  chennai","","62777","4.1"
"C026","   Kavya Bose   ","34","surat","kavya.bose@example.com","52376","3.6"
"C060","   Harsh Singh   ","47","  AHMEDABAD  ","harsh.singh@example.com","32677","1.3"
"C022","SHREYA IYER","31","kolkata","shreya.iyer@example.com","Rs. 1,282","2.1"
"C027","rahul rao","54","mumbai","  RAHUL.RAO@EXAMPLE.COM  ","35260","2.4"
"C096","karan bose","46","mumbai","","17724",""
"C086","TANVI KULKARNI","26","Jaipur","tanvi.kulkarni@example.com","58211",""
"C073","   Kavya Patel   ","35","  chennai","  KAVYA.PATEL@EXAMPLE.COM  ","Rs. 41,319","4.3"
"C075","Amit Nair","23","surat","amit.nair@example.com","77455","5.0"
"C092","arjun bose","52","Jaipur","arjun.bose@example.com","77514","4.8"
"C091","ananya mehta","57","surat","ananya.mehta@example.com","30933","2.0"
"C050","   Amit Kulkarni   ","40","kolkata","amit.kulkarni@example.com","55421","3.9"
"C077","hArSh mEnOn","44","DELHI","harsh.menon@example.com","43728","3.0"
"C087","neha desai","59","Bangalore","  NEHA.DESAI@EXAMPLE.COM  ","35237","3.8"
"C070","   Meera Menon   ","57","kolkata","","13506","1.8"
"C045","aMiT PaTeL","51.0","  chennai","amit.patel@example.com","16406","4.2"
"C051","LAKSHMI JOSHI","45","Jaipur","lakshmi.joshi@example.com","53494","4.4"
"C100","Nikhil Nair","48","DELHI","","74084","3.4"
"C028","ROHAN YADAV","46","HYDERABAD","rohan.yadav@example.com","86217","3.7"
"C074","nEhA SiNgH","37","DELHI","neha.singh@example.com","65222","3.4"
"C033","priya bose","44","HYDERABAD","priya.bose@example.com","31529","4.9"
